Row ID,Order ID,Order_Status,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Full_Name,Day Name,Month Name,Year,Sales_Class,Main_Order_Status,Main_Ship_Date,Main_Birthdate,Month_num,Day_num,10% Discount,Days_to_ship
3874,27680,Delivered,26-Jan-10,Critical,19,137.02,0.01,Regular Air,-46.89,6.48,6.6,Northwest Territories,Small Business,Office Supplies,Paper,Xerox 21,Small Box,0.37,Delfina Latchford,Tuesday,January,2010,Low Sales,Delivered,27-Jan-10,12-Mar-59,1,1,13.702,1
4901,34880,Delivered,16-Sep-09,High,44,284.38,0.04,Regular Air,-62.43,6.48,5.19,Atlantic,Home Office,Office Supplies,Paper,Xerox 1995,Small Box,0.37,Philip Brown,Wednesday,September,2009,Low Sales,Delivered,17-Sep-09,27-Feb-77,9,2,28.438,1
7949,56803,Delivered,10-Dec-09,Not Specified,42,258.19,0.1,Regular Air,-103.27,6.48,5.9,Prarie,Small Business,Office Supplies,Paper,Xerox 1976,Small Box,0.37,Carlos Soltero,Thursday,December,2009,Low Sales,Delivered,10-Dec-09,21-Aug-71,12,3,25.819,0
8360,59750,Delivered,09-Jul-10,Low,34,223.59,0.04,Regular Air,-66.05,6.48,5.74,West,Corporate,Office Supplies,Paper,Xerox 1994,Small Box,0.37,Jim Sink,Friday,July,2010,Low Sales,Delivered,13-Jul-10,24-Apr-63,7,4,22.359,4
3573,25475,Delivered,04-Apr-09,Critical,49,305.96,0.06,Regular Air,-191.49,6.48,7.49,West,Home Office,Office Supplies,Paper,Xerox 220,Small Box,0.37,Lena Cacioppo,Saturday,April,2009,Low Sales,Delivered,04-Apr-09,22-Apr-74,4,5,30.596,0
4111,29252,Delivered,06-Aug-09,Low,9,65.81,0.01,Regular Air,-15.44,6.48,5.19,West,Small Business,Office Supplies,Paper,Xerox 1995,Small Box,0.37,Anthony Johnson,Thursday,August,2009,Low Sales,Delivered,10-Aug-09,20-Sep-73,8,3,6.581,4
3475,24737,Delivered,06-Dec-09,High,26,182.09,0,Regular Air,-28.15,6.48,5.19,West,Small Business,Office Supplies,Paper,Xerox 1995,Small Box,0.37,Sonia Sunley,Sunday,December,2009,Low Sales,Delivered,07-Dec-09,03-Jan-55,12,6,18.209,1
6761,48165,Delivered,05-Nov-10,High,28,199.94,0.01,Regular Air,-147.27,6.48,9.54,West,Small Business,Office Supplies,Paper,Xerox 1905,Small Box,0.37,Dennis Bolton,Friday,November,2010,Low Sales,Delivered,07-Nov-10,14-Jun-64,11,4,19.994,2
260,1799,Delivered,06-Mar-09,Not Specified,16,108.31,0.05,Regular Air,-52.77,6.48,6.86,West,Small Business,Office Supplies,Paper,Xerox 204,Small Box,0.37,Trudy Schmidt,Friday,March,2009,Low Sales,Delivered,08-Mar-09,18-Aug-80,3,4,10.831,2
1497,10819,Delivered,24-Aug-10,Critical,35,233.39,0.06,Regular Air,-197.39,6.48,9.54,West,Small Business,Office Supplies,Paper,Xerox 1905,Small Box,0.37,Mike Vittorini,Tuesday,August,2010,Low Sales,Delivered,24-Aug-10,28-Feb-50,8,1,23.339,0
8240,58913,Delivered,11-May-10,Medium,23,144.55,0.07,Regular Air,-60.17,6.48,5.94,Atlantic,Corporate,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Small Box,0.37,Sarah Bern,Tuesday,May,2010,Low Sales,Delivered,13-May-10,11-Jul-56,5,1,14.455,2
2305,16612,Delivered,13-Feb-09,High,6,48.93,0,Regular Air,-38.72,6.48,10.05,Atlantic,Home Office,Office Supplies,Paper,Xerox 1997,Small Box,0.37,Sally Matthias,Friday,February,2009,Low Sales,Delivered,15-Feb-09,27-Mar-77,2,4,4.893,2
4321,30785,Delivered,03-Jul-09,High,7,55.81,0.03,Regular Air,-35.04,6.48,8.73,West,Home Office,Office Supplies,Paper,Xerox 227,Small Box,0.37,Neil Ducich,Friday,July,2009,Low Sales,Delivered,05-Jul-09,09-Mar-59,7,4,5.581,2
6350,44999,Delivered,22-Jan-10,Medium,17,110.74,0.09,Regular Air,-70.31,6.48,7.49,West,Small Business,Office Supplies,Paper,Xerox 220,Small Box,0.37,Mike Kennedy,Friday,January,2010,Low Sales,Delivered,23-Jan-10,06-Mar-68,1,4,11.074,1
6763,48167,Delivered,06-Sep-09,Critical,45,282.98,0.06,Regular Air,-237.47,6.48,8.88,Prarie,Corporate,Office Supplies,Paper,Xerox 224,Small Box,0.37,Dana Kaydos,Sunday,September,2009,Low Sales,Delivered,07-Sep-09,04-Aug-82,9,6,28.298,1
6845,48772,Delivered,12-May-09,Medium,11,81.25,0.01,Regular Air,-44.54,6.48,7.86,Prarie,Small Business,Office Supplies,Paper,Xerox 213,Small Box,0.37,Aaron Smayling,Tuesday,May,2009,Low Sales,Delivered,13-May-09,02-Jul-67,5,1,8.125,1
7742,55429,Delivered,29-Jun-09,High,43,260.59,0.09,Regular Air,-157.76,6.48,7.03,Prarie,Consumer,Office Supplies,Paper,Xerox 214,Small Box,0.37,Nathan Cano,Monday,June,2009,Low Sales,Delivered,01-Jul-09,28-Oct-60,6,0,26.059,2
503,3463,Delivered,17-Aug-10,Critical,43,264.75,0.08,Regular Air,-212.51,6.48,8.4,Prarie,Consumer,Office Supplies,Paper,Xerox 212,Small Box,0.37,Julia Dunbar,Tuesday,August,2010,Low Sales,Delivered,18-Aug-10,03-May-46,8,1,26.475,1
1172,8551,Delivered,29-Jul-09,Critical,34,225.98,0.01,Regular Air,-135.74,6.48,7.86,Prarie,Corporate,Office Supplies,Paper,Xerox 213,Small Box,0.37,Meg O'Connel,Wednesday,July,2009,Low Sales,Delivered,31-Jul-09,08-Sep-82,7,2,22.598,2
2119,15109,Delivered,14-Dec-10,Not Specified,45,293.47,0.06,Regular Air,-205.38,6.48,8.4,Prarie,Home Office,Office Supplies,Paper,Xerox 212,Small Box,0.37,Maria Bertelson,Tuesday,December,2010,Low Sales,Delivered,16-Dec-10,25-Jul-81,12,1,29.347,2
5502,39015,Delivered,06-Dec-09,Medium,11,74.02,0.07,Regular Air,-28.45,6.48,5.74,Ontario,Corporate,Office Supplies,Paper,Xerox 1994,Small Box,0.37,Lycoris Saunders,Sunday,December,2009,Low Sales,Delivered,06-Dec-09,20-Feb-53,12,6,7.402,0
6631,47171,Delivered,07-Jan-10,Medium,21,147.16,0.01,Regular Air,-92.55,6.48,8.4,Ontario,Home Office,Office Supplies,Paper,Xerox 212,Small Box,0.37,Sandra Glassco,Thursday,January,2010,Low Sales,Delivered,08-Jan-10,07-Jul-69,1,3,14.716,1
1649,11878,Delivered,24-Feb-10,Not Specified,15,101.82,0.08,Regular Air,-52.55,6.48,7.03,Ontario,Small Business,Office Supplies,Paper,Xerox 214,Small Box,0.37,Jesus Ocampo,Wednesday,February,2010,Low Sales,Delivered,25-Feb-10,25-Apr-56,2,2,10.182,1
5990,42465,Delivered,21-Dec-10,Medium,15,102.32,0.08,Regular Air,-32.7,6.48,5.74,Ontario,Corporate,Office Supplies,Paper,Xerox 1994,Small Box,0.37,Tamara Dahlen,Tuesday,December,2010,Low Sales,Delivered,22-Dec-10,20-Nov-52,12,1,10.232,1
6126,43367,Delivered,09-Mar-10,Critical,3,23.38,0.08,Regular Air,-12.19,6.48,5.14,Ontario,Small Business,Office Supplies,Paper,Xerox 23,Small Box,0.37,Anemone Ratner,Tuesday,March,2010,Low Sales,Delivered,12-Mar-10,16-Mar-52,3,1,2.338,3
3516,25056,Delivered,21-Sep-10,Not Specified,41,295.12,0,Regular Air,-151.93,6.48,8.19,Ontario,Corporate,Office Supplies,Paper,Xerox 217,Small Box,0.37,Phillip Breyer,Tuesday,September,2010,Low Sales,Delivered,23-Sep-10,17-Mar-80,9,1,29.512,2
